1.20719643,1.19147743,1.17647922,1.18476670,1.18634311
5.30059792,5.26251533,5.47478341,5.13010412,5.09730671
6.11712300,6.29452481,6.17433119,6.25568886,6.18893014
7.10118862,4.52864975,5.80239827,6.21792529,7.11865099
6.87181493,7.59271040,7.13401707,7.18435460,8.18564571
7.86682640,7.80598834,8.19502729,8.28410371,8.17651135
8.14278935,8.22252105,8.20435054,7.86745361,7.44529448
7.45629697,7.16036638,5.39792389,5.73208226,8.27006969
8.28098874,8.23706800,8.30144278,8.29692910,8.31551507
7.59134104,7.08504430,7.70832247,7.50040492,6.00989780
6.76384827,6.67951337,6.82278272,6.62716038,5.85284549
6.01251975,5.65587560,6.14617866,6.51638885,6.13963493
6.39685173,6.21805431,7.11259542,6.41964276,6.38933912
5.74910945,6.14774150,7.19953786,6.42826606,6.32700955
6.22805827,5.72612067,6.63001076,6.89307285,6.80530991
5.64654883,6.73283888,6.84864896,6.70661433,6.56434819
7.50046047,7.94280040,8.30463180,8.25244669,8.31880643
7.77091605,6.83687327,8.02058770,8.31368291,7.52534898
7.82253680,5.91349910,4.40663257,8.08978858,8.29102078
8.26882490,8.31039141,8.30399444,8.23319265,7.31346118
